"mtabName","r2_line","LOD","LOQ","dilution_factor","CMP032_MIT9301_repl_A","CMP032_.MIT9301_repl_B","CMP032_MIT9301_repl_C","CMP032_MIT9301_lown_A","CMP032_MIT9301_lown_B","CMP032_MIT9301_lown_C","CMP032_MIT9301_lowp_A","CMP032_MIT9301_lowp_B","CMP032_MIT9301_lowp_C","DF10_MIT9301_lown_A","DF10_MIT9301_lowp_B","DF10_MIT9301_lown_C","DF10_MIT9301_lowp_A","DF10_MIT9301_lowp_C","DF10_MIT9301_repl_C","DF10_MIT9301_blank_A","DF10_MIT9301_lown_B","DF10_MIT9301_repl_B","DF10_MIT9301_blank_C","DF10_MIT9301_blank_B","DF10_MIT9301_repl_A","DF40_MIT9301_lown_A","DF40_MIT9301_lowp_B","DF40_MIT9301_lown_C","DF40_MIT9301_lowp_A","DF40_MIT9301_lowp_C","DF40_MIT9301_repl_C","DF40_MIT9301_blank_A","DF40_MIT9301_lown_B","DF40_MIT9301_repl_B","DF40_MIT9301_blank_C","DF40_MIT9301_blank_B","DF40_MIT9301_repl_A","DF200_MIT9301_lown_A","DF200_MIT9301_lowp_B","DF200_MIT9301_lown_C","DF200_MIT9301_lowp_A","DF200_MIT9301_lowp_C","DF200_MIT9301_repl_C","DF200_MIT9301_blank_A","DF200_MIT9301_lown_B","DF200_MIT9301_repl_B","DF200_MIT9301_blank_C","DF200_MIT9301_blank_B","DF200_MIT9301_repl_A"
"2-deoxycytidine pos",0.973635588,21.57242904,65.37099708,"original",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-deoxyinosine",0.997139075,2.936953968,8.899860508,"original",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-deoxyuridine",0.991775483,3.49769561,10.59907761,"original",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3-methyl-2-oxobutanoic acid",0.993790427,1.84482333,5.590373727,"original",15.18816837,8.716781045,15.16352061,3.751070099,5.356032876,3.219327665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3-methyl-2-oxopentanoic acid",0.996211931,1.961273448,5.943252874,"original",NA,NA,NA,NA,11.96746749,4.209834897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4-methyl-2-oxopentanoic acid",0.994467278,2.372352884,7.188948135,"original",NA,NA,NA,10.48871248,10.64190543,2.472015606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adenine pos",0.97731063,64.7284012,196.1466703,"original",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alpha-ketoglutaric acid",0.994993873,30.1328734,91.31173758,"original",76.75655299,74.53893538,214.2447679,796.2596087,446.3148193,637.0348225,38.84760202,55.91502445,34.1571577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cytidine pos",0.976515904,65.8790359,199.6334421,"original",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"diacetylchitobiose",0.997696144,23.00399092,69.70906339,"original",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fumaric acid",0.999531101,1.052248863,3.188632919,"original",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
